Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
"",,Buy,Sell,Net,Buy,Sell,Brokerage,CVT,WHT,FED,Net,
INTERNATIONAL INDUSTRIES LIMITED,KSE,INIL,55,91,(36),"9,098.68","14,795.40",34.80,0.00,0.00,5.23,"(5,656.69)"
INTERNATIONAL STEELS LIMITED,KSE,ISL,288,288,0,"20,993.23","20,766.73",43.76,0.00,0.00,6.56,276.82
K-ELECTRIC LIMITED,KSE,KEL,"1,784","1,784",0,"8,010.16","7,510.64",107.04,0.00,0.00,16.06,622.62
K.S.B PUMPS,KSE,KSBP,87,87,0,"12,048.33","12,336.70",31.97,0.00,0.00,4.80,(251.60)
KOHAT CEMENT COMPANY LIMITED,KSE,KOHC,56,0,56,"17,075.39",0.00,25.63,0.00,0.00,3.89,"17,104.91"
KOHINOOR ENERGY LIMITED,KSE,KOHE,350,350,0,"11,171.52","10,531.85",32.57,0.00,0.00,4.92,677.16
KOHINOOR SPINNING MILLS LTD,KSE,KOSM,753,291,462,"6,868.91","2,651.01",31.32,0.00,0.00,4.72,"4,253.94"
KOT ADDU POWER COMPANY LIMITED,KSE,KAPCO,759,558,201,"22,796.48","17,596.18",60.51,0.00,0.00,9.02,"5,269.83"
LOTTE CHEMICAL PAKISTAN LIMITED.,KSE,LOTCHEM,"2,273",911,"1,362","37,500.05","15,586.02",95.52,0.00,0.00,14.36,"22,023.91"
LUCKY CEMENT LIMITED,KSE,LUCK,90,36,54,"77,852.91","30,961.17",148.70,0.00,0.00,22.32,"47,062.76"
MACPAC FILMS LIMITED,KSE,MACFL,464,464,0,"9,391.08","8,839.20",28.02,0.00,0.00,4.21,584.11
MAPLE LEAF CEMENT FACTORY LIMITED,KSE,MLCF,483,483,0,"16,171.54","16,061.77",48.10,0.00,0.00,7.24,165.11
MARI PETROLEUM COMPANY LIMITED,KSE,MARI,43,100,(57),"87,622.85","83,799.07",191.13,0.00,0.00,28.71,"4,043.62"
MEDIA TIMES LIMITED,KSE,MDTL,"1,088","1,088",0,"3,089.90","2,448.04",65.28,0.00,0.00,9.80,716.94
MEEZAN BANK LTD.,KSE,MEBL,228,166,62,"51,547.38","39,454.19",136.48,0.00,0.00,20.47,"12,250.14"
MERIT PACKAGING LIMITED,KSE,MERIT,540,"1,151",(611),"6,334.16","13,607.91",50.73,0.00,0.00,7.61,"(7,215.41)"
MILLAT TRACTORS LIMITED,KSE,MTL,77,104,(27),"44,177.11","57,705.18",140.50,0.00,0.00,21.08,"(13,366.49)"
NATIONAL FOOD LIMITED,KSE,NATF,4,51,(47),799.96,"9,690.00",15.74,0.00,0.00,2.36,"(8,871.94)"
NATIONAL REFINERY LIMITED,KSE,NRL,132,56,76,"28,153.54","12,164.33",60.45,0.00,0.00,9.05,"16,058.71"
Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
"",,Buy,Sell,Net,Buy,Sell,Brokerage,CVT,WHT,FED,Net,
NISHAT (CHUNIAN) LIMITED,KSE,NCL,702,702,0,"16,734.40","16,545.40",49.94,0.00,0.00,7.49,246.43
NISHAT CHUNIAN POWER LIMITED,KSE,NCPL,704,704,0,"20,439.96","20,701.25",46.29,0.00,0.00,6.96,(208.04)
NISHAT MILLS LIMITED,KSE,NML,569,569,0,"36,948.43","36,376.24",109.46,0.00,0.00,16.47,698.12
NISHAT POWER LIMITED,KSE,NPL,269,524,(255),"11,016.57","19,366.54",45.46,0.00,0.00,6.85,"(8,297.66)"
OIL & GAS DEVELOPMENT CO LTD,KSE,OGDC,311,163,148,"43,490.16","22,774.84",98.51,0.00,0.00,14.88,"20,828.71"
PACE PAKISTAN,KSE,PACE,679,679,0,"4,193.40","4,808.79",40.53,0.00,0.00,6.09,(568.77)
PAK REINSURANCE COMPANY LIMITED,KSE,PAKRI,655,655,0,"7,191.90","7,209.50",39.30,0.00,0.00,5.90,27.60
PAKISTAN OILFIELDS LIMITED,KSE,POL,104,57,47,"63,508.34","33,521.00",143.75,0.00,0.00,21.58,"30,152.67"
PAKISTAN OXYGEN LIMITED,KSE,PAKOXY,87,87,0,"11,163.11","12,358.00",34.22,0.00,0.00,5.13,"(1,155.54)"
PAKISTAN PETROLEUM LTD,KSE,PPL,263,263,0,"29,651.91","29,581.55",88.17,0.00,0.00,13.24,171.77
PAKISTAN REFINERY LIMITED,KSE,PRL,572,572,0,"13,873.92","13,947.47",41.72,0.00,0.00,6.26,(25.57)
PAKISTAN STATE OIL COMPANY LIMTED,KSE,PSO,174,174,0,"28,305.45","28,265.68",78.96,0.00,0.00,11.89,130.62
PAKISTAN TELECOMMUNICATION CO,KSE,PTC,"1,996","1,515",481,"23,435.94","17,732.68",105.33,0.00,0.00,15.82,"5,824.41"
